2287	Blue NE
2290	Blue SW
2296	Blue NW
2298	Blue SE
2286	Red NE
2288	Red SW
2295	Red NW
2297	Red SE
2289	Green 1
2282	Green NE
2291	Green SE
2294	Green NW
3030	Green SW
2292	Silver
2293	Grey
34903	Gold 1
3996	Air Medical Net
3997	Denver Metro Net
3998	Northeast Net
3999	Southeast Net
8070	Southwest Net
8071	Northwest Net
4000	MAC 1 MET Call
4001	MAC 2 MET Fire
4002	MAC 3 MET LE
4003	MAC 4 MET EMS
4004	MAC 5 NE Call
4005	MAC 6 NE Fire
4006	MAC 7 NE LE
4007	MAC 8 NE EMS
4008	MAC 9 SE Call
4009	MAC 10 SE Fire
4010	MAC 11 SE LE
4011	MAC 12 SE EMS
4012	MAC 13 SW Call
4013	MAC 14 SW Fire
4014	MAC 15 SW LE
4015	MAC 16 SW EMS
4016	MAC 17 NW Call
4017	MAC 18 NW Fire
4018	MAC 19 NW LE
4019	MAC 20 NW EMS
4020	MAC 21 ST
162	EMS MH
163	EMS NE
164	EMS PP
165	EMS SE
166	EMS S
167	EMS FH
168	EMS MAC
1360	SC RIC Cmd
1361	SC RIC Law
1362	SC RIC Fire
1363	SC RIC EMS
4453	S RIC Call
4454	S RIC Fire
4455	S RIC Law
4456	S RIC EMS
8160	EMS CM
8161	ER MAC
8162	EMS NW
8163	EMS SLV
8164	EMS SW
8165	EMS W
8396	SW RIC A
8397	SW RIC B
8398	SW RIC C
8399	SW RIC D
8820	I-70 Snow MAC
9463	WYCO 1
9464	WYCO 2
9465	WYCO 3
9466	WYCO 4
9467	WYCO Net
1	SiteOnWhelsA
2	SiteOnWhelsB
3	SiteOnWhelsC
4	SiteOnWhelsD
5	SiteOnWhelsE
6	SiteOnWhelsF
7	SiteOnWhelsG
8	SiteOnWhelsH
9	SiteOnWhelsI
10	SiteOnWhelsJ
11	SiteOnWhelsK
12	SiteOnWhelsL
13	SiteOnWhelsM
14	SiteOnWhelsN
15	SiteOnWhelsO
16	SiteOnWlsATG
2363	CSP HQ Denver
2397	CSP Statewide
2409	CSP Metro
2441	CSP Trouble
2405	CSP Ops 1
2407	CSP Ops 2
2703	CSP Ops 3
8108	CSP Ops 4
8116	CSP Ops 5
2301	CSP Troop 1B-1C
2303	CSP 1C Tac
2305	CSP Troop 1D
2307	CSP 1D Tac
2381	CSP Troop 1AE
2383	CSP 1A-E Tac
2385	CSP Troop 1AW
2387	CSP 1A-W Tac
2389	CSP Troop 1DW
2391	CSP 1D-W Tac
2401	CSP Troop 1E
2403	CSP 1E Tac
2519	CSP Troop 2BW
2520	CSP Troop 2A
2521	CSP 2A Tac
2522	CSP Troop 2BE
2523	CSP 2B-E Tac
2524	CSP Troop 2C
2525	CSP 2C Tac
2526	CSP Troop 2D
2527	CSP 2D Tac
2704	CSP 2B-W Tac
